Machine_ID,value_ISO,value_DEMO,value_ACC,value_P2P,valueTEMP,minute,second,year,month,day,hour
1,0.35937503,0.000362396,0.012756349,0.043457035,25.0,41,24,2022,12,7,12
1,0.35937503,0.000362396,0.012756349,0.043457035,25.0,41,29,2022,12,7,12
1,0.35937503,0.000362396,0.012756349,0.043457035,25.0,41,34,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.043212894,25.0,41,39,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.043212894,25.0,41,44,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.043212894,25.0,41,49,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.043212894,25.0,41,54,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.043212894,25.0,41,59,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.043212894,25.0,42,4,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.042968754,25.0,42,9,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.042968754,25.0,42,14,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.042968754,25.0,42,19,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.042968754,25.0,42,24,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.042968754,25.0,42,29,2022,12,7,12
1,0.35937503,0.000333786,0.012817384,0.042968754,25.0,42,34,2022,12,7,12
1,0.35937503,0.000335693,0.012817384,0.043212894,25.0,42,39,2022,12,7,12
1,0.35937503,0.000335693,0.012817384,0.043212894,25.0,42,44,2022,12,7,12
1,0.35937503,0.000335693,0.012817384,0.043212894,25.0,42,49,2022,12,7,12
1,0.35937503,0.000335693,0.012817384,0.043212894,25.0,42,54,2022,12,7,12
1,0.35937503,0.000335693,0.012817384,0.043212894,25.0,42,59,2022,12,7,12
1,0.35937503,0.000337601,0.012817384,0.042968754,25.0,43,4,2022,12,7,12
1,0.35937503,0.000337601,0.012817384,0.042968754,25.0,43,9,2022,12,7,12
1,0.35937503,0.000337601,0.012817384,0.042968754,25.0,43,14,2022,12,7,12
1,0.35937503,0.000337601,0.012817384,0.042968754,25.0,43,19,2022,12,7,12
1,0.35937503,0.000337601,0.012817384,0.042968754,25.0,43,24,2022,12,7,12
1,0.35937503,0.000337601,0.012817384,0.042968754,25.0,43,29,2022,12,7,12
1,0.361328155,0.000331879,0.012878419,0.043212894,25.0,43,34,2022,12,7,12
1,0.361328155,0.000331879,0.012878419,0.043212894,25.0,43,39,2022,12,7,12
1,0.361328155,0.000331879,0.012878419,0.043212894,25.0,43,44,2022,12,7,12
1,0.361328155,0.000331879,0.012878419,0.043212894,25.0,43,50,2022,12,7,12
1,0.361328155,0.000331879,0.012878419,0.043212894,25.0,43,55,2022,12,7,12
1,0.361328155,0.000331879,0.012878419,0.043212894,25.0,44,0,2022,12,7,12
1,0.35937503,0.000333786,0.012878419,0.043457035,25.0,44,5,2022,12,7,12
1,0.35937503,0.000333786,0.012878419,0.043457035,25.0,44,10,2022,12,7,12
1,0.35937503,0.000333786,0.012878419,0.043457035,25.0,44,15,2022,12,7,12
1,0.35937503,0.000333786,0.012878419,0.043457035,25.0,44,20,2022,12,7,12
1,0.35937503,0.000333786,0.012878419,0.043457035,25.0,44,25,2022,12,7,12
1,0.35937503,0.000333786,0.012878419,0.043457035,25.0,44,30,2022,12,7,12
1,0.36328128,0.000329971,0.012878419,0.044433597,25.0,44,35,2022,12,7,12
1,0.36328128,0.000329971,0.012878419,0.044433597,25.0,44,40,2022,12,7,12
1,0.36328128,0.000329971,0.012878419,0.044433597,25.0,44,45,2022,12,7,12
1,0.36328128,0.000329971,0.012878419,0.044433597,25.0,44,50,2022,12,7,12
1,0.36328128,0.000329971,0.012878419,0.044433597,25.0,44,55,2022,12,7,12
1,0.36328128,0.000329971,0.012878419,0.044433597,25.0,45,0,2022,12,7,12
1,0.361328155,0.000333786,0.012878419,0.043701176,25.0,45,5,2022,12,7,12
1,0.361328155,0.000333786,0.012878419,0.043701176,25.0,45,10,2022,12,7,12
1,0.361328155,0.000333786,0.012878419,0.043701176,25.0,45,15,2022,12,7,12
1,0.361328155,0.000333786,0.012878419,0.043701176,25.0,45,20,2022,12,7,12
1,0.361328155,0.000333786,0.012878419,0.043701176,25.0,45,25,2022,12,7,12
1,0.361328155,0.000333786,0.012878419,0.043701176,25.0,45,30,2022,12,7,12
1,0.361328155,0.000328064,0.012878419,0.044433597,25.0,45,35,2022,12,7,12
1,0.361328155,0.000328064,0.012878419,0.044433597,25.0,45,40,2022,12,7,12
1,0.361328155,0.000328064,0.012878419,0.044433597,25.0,45,45,2022,12,7,12
1,0.361328155,0.000328064,0.012878419,0.044433597,25.0,45,50,2022,12,7,12
1,0.361328155,0.000328064,0.012878419,0.044433597,25.0,45,55,2022,12,7,12
1,0.361328155,0.000328064,0.012878419,0.044433597,25.0,46,0,2022,12,7,12
1,0.361328155,0.000326157,0.012939454,0.044433597,26.0,46,5,2022,12,7,12
1,0.361328155,0.000326157,0.012939454,0.044433597,26.0,46,10,2022,12,7,12
1,0.361328155,0.000326157,0.012939454,0.044433597,26.0,46,15,2022,12,7,12
1,0.361328155,0.000326157,0.012939454,0.044433597,26.0,46,20,2022,12,7,12
1,0.361328155,0.000326157,0.012939454,0.044433597,26.0,46,26,2022,12,7,12
1,0.361328155,0.000326157,0.012939454,0.044433597,26.0,46,31,2022,12,7,12
1,0.36328128,0.000324249,0.012939454,0.044189457,26.0,46,36,2022,12,7,12
1,0.36328128,0.000324249,0.012939454,0.044189457,26.0,46,41,2022,12,7,12
1,0.36328128,0.000324249,0.012939454,0.044189457,26.0,46,46,2022,12,7,12
1,0.36328128,0.000324249,0.012939454,0.044189457,26.0,46,51,2022,12,7,12
1,0.36328128,0.000324249,0.012939454,0.044189457,26.0,46,56,2022,12,7,12
1,0.36328128,0.000324249,0.012939454,0.044189457,26.0,47,1,2022,12,7,12
1,0.49609378,0.011718751,0.061523441,0.482421905,26.0,47,6,2022,12,7,12
1,0.49609378,0.011718751,0.061523441,0.482421905,26.0,47,11,2022,12,7,12
1,0.49609378,0.011718751,0.061523441,0.482421905,26.0,47,16,2022,12,7,12
1,0.49609378,0.011718751,0.061523441,0.482421905,26.0,47,21,2022,12,7,12
1,0.49609378,0.011718751,0.061523441,0.482421905,26.0,47,26,2022,12,7,12
1,0.48437503,0.011718751,0.058349613,0.44921878,25.0,47,31,2022,12,7,12
1,0.48437503,0.012084962,0.058349613,0.44921878,25.0,47,36,2022,12,7,12
1,0.48437503,0.012084962,0.058349613,0.44921878,25.0,47,41,2022,12,7,12
1,0.48437503,0.012084962,0.058349613,0.44921878,25.0,47,46,2022,12,7,12
1,0.48437503,0.012084962,0.058349613,0.44921878,25.0,47,51,2022,12,7,12
1,0.48437503,0.012084962,0.058349613,0.44921878,25.0,47,56,2022,12,7,12
1,0.49218753,0.011962892,0.060791019,0.458984405,25.0,48,1,2022,12,7,12
1,0.49218753,0.011962892,0.060791019,0.458984405,25.0,48,6,2022,12,7,12
